Id,SalePrice,YearBuilt,YrSold,MonthSold,Size(sqf),Floor,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_manager,N_elevators,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(Park),N_SchoolNearBy(Elementary),N_SchoolNearBy(Middle),N_SchoolNearBy(High),N_SchoolNearBy(University),N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total),class_price,AptType
0,32743,1992,2009,1,355,1,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A,Old
1,34070,1992,2008,12,355,2,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A,Family
2,34513,1992,2010,12,355,2,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A,Family
3,34513,1992,2010,1,355,2,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A,Family
4,34513,1992,2009,5,355,4,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A,Family
5,34955,1992,2008,11,355,12,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A,Family
6,35398,2014,2015,7,135,15,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A,Married Couple
7,35398,2014,2015,7,135,17,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A,Married Couple
8,35398,1992,2007,10,355,8,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A,Family
9,35398,2014,2015,7,135,16,0.00,218.00,12.50,7.50,1.00,4.00,0.00,4.00,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1,6.00,1.00,A,Married Couple
